日期,時間,開盤價,最高價,最低價,收盤價,SMA8,SMA17,SMA34,SMA68,成交量,MA40,MA80,DIF18-32,MACD12,OSC,"K(90,3)","D(90,3)"
11/24/2022,10:55:00,8.69,8.69,8.69,8.69,8.68,8.68,8.69,8.7,4,84,101,0,0,0,25.79%,21.01%
11/24/2022,10:56:00,8.69,8.69,8.69,8.69,8.68,8.68,8.69,8.7,4,84,101,0,0,0,28.30%,23.44%
11/24/2022,10:57:00,8.68,8.68,8.68,8.68,8.68,8.68,8.68,8.7,7,83,95,0,0,0,24.42%,23.77%
11/24/2022,10:58:00,8.68,8.69,8.68,8.69,8.69,8.68,8.69,8.7,5,81,94,0,0,0,29.62%,25.72%
11/24/2022,10:59:00,8.69,8.69,8.68,8.69,8.69,8.68,8.69,8.7,7,78,93,0,0,0,33.08%,28.17%
11/24/2022,11:00:00,8.69,8.69,8.68,8.68,8.69,8.68,8.68,8.7,21,78,92,0,0,0,28.72%,28.35%
11/24/2022,11:01:00,8.68,8.69,8.68,8.69,8.69,8.68,8.68,8.69,47,72,90,0,0,0,32.48%,29.73%
11/24/2022,11:02:00,8.68,8.68,8.68,8.68,8.69,8.68,8.68,8.69,79,72,90,0,0,0,28.32%,29.26%
11/24/2022,11:03:00,8.69,8.69,8.69,8.69,8.69,8.68,8.68,8.69,5,72,89,0,0,0,32.21%,30.24%
11/24/2022,11:04:00,8.68,8.68,8.68,8.68,8.69,8.68,8.68,8.69,5,71,87,0,0,0,28.14%,29.54%
11/24/2022,11:05:00,8.68,8.69,8.68,8.69,8.69,8.68,8.68,8.69,11,68,84,0,0,0,32.09%,30.39%
11/24/2022,11:06:00,8.68,8.69,8.68,8.69,8.69,8.68,8.68,8.69,23,69,80,0,0,0,34.73%,31.84%
11/24/2022,11:07:00,8.69,8.69,8.68,8.69,8.69,8.69,8.68,8.69,41,69,80,0,0,0,36.49%,33.39%
11/24/2022,11:08:00,8.69,8.69,8.69,8.69,8.69,8.69,8.68,8.69,10,69,80,0,0,0,37.66%,34.81%
11/24/2022,11:09:00,8.69,8.69,8.68,8.68,8.69,8.69,8.68,8.69,6,68,78,0,0,0,31.77%,33.80%
11/24/2022,11:10:00,8.69,8.69,8.68,8.68,8.69,8.69,8.68,8.69,266,69,77,0,0,0,27.85%,31.81%
11/24/2022,11:11:00,8.68,8.68,8.67,8.68,8.69,8.69,8.68,8.69,241,75,80,0,0,0,25.23%,29.62%
11/24/2022,11:12:00,8.68,8.69,8.68,8.68,8.69,8.69,8.68,8.69,94,77,80,0,0,0,23.49%,27.58%
11/24/2022,11:13:00,8.69,8.69,8.69,8.69,8.69,8.69,8.68,8.69,12,77,80,0,0,0,28.99%,28.05%
11/24/2022,11:14:00,8.68,8.69,8.68,8.69,8.69,8.69,8.68,8.69,82,79,81,0,0,0,32.66%,29.59%
11/24/2022,11:15:00,8.69,8.69,8.68,8.68,8.68,8.69,8.68,8.69,2,78,79,0,0,0,28.44%,29.20%
11/24/2022,11:16:00,8.69,8.69,8.68,8.68,8.68,8.68,8.68,8.69,6,70,79,0,0,0,25.63%,28.01%
11/24/2022,11:17:00,8.68,8.69,8.68,8.69,8.68,8.69,8.68,8.69,9,64,79,0,0,0,30.42%,28.81%
11/24/2022,11:18:00,8.69,8.69,8.68,8.68,8.68,8.68,8.68,8.69,23,61,79,0,0,0,26.95%,28.19%
11/24/2022,11:19:00,8.68,8.69,8.68,8.69,8.69,8.69,8.68,8.69,31,60,79,0,0,0,31.30%,29.23%
11/24/2022,11:20:00,8.69,8.69,8.69,8.69,8.69,8.69,8.69,8.69,0,59,78,0,0,0,34.20%,30.88%
11/24/2022,11:21:00,8.69,8.69,8.68,8.69,8.69,8.69,8.69,8.69,15,58,78,0,0,0,36.13%,32.63%
11/24/2022,11:22:00,8.69,8.69,8.69,8.69,8.69,8.69,8.69,8.69,12,57,77,0,0,0,37.42%,34.23%
11/24/2022,11:23:00,8.69,8.69,8.69,8.69,8.69,8.69,8.69,8.69,56,58,76,0,0,0,38.28%,35.58%
11/24/2022,11:24:00,8.69,8.69,8.69,8.69,8.69,8.69,8.69,8.69,19,56,71,0,0,0,38.85%,36.67%
11/24/2022,11:25:00,8.69,8.69,8.68,8.69,8.69,8.69,8.69,8.69,24,56,71,0,0,0,39.24%,37.53%
11/24/2022,11:26:00,8.68,8.69,8.68,8.69,8.69,8.69,8.69,8.69,2,55,70,0,0,0,39.49%,38.18%
11/24/2022,11:27:00,8.69,8.69,8.68,8.68,8.69,8.69,8.69,8.69,21,56,70,0,0,0,32.99%,36.45%
11/24/2022,11:28:00,8.69,8.69,8.69,8.69,8.69,8.69,8.69,8.69,3,55,68,0,0,0,35.33%,36.08%
11/24/2022,11:29:00,8.69,8.69,8.69,8.69,8.69,8.69,8.69,8.69,1,55,68,0,0,0,36.89%,36.35%
11/24/2022,11:30:00,8.69,8.69,8.69,8.69,8.69,8.69,8.69,8.69,6,47,68,0,0,0,37.92%,36.87%
11/24/2022,11:31:00,8.69,8.69,8.69,8.69,8.69,8.69,8.69,8.69,3,33,68,0,0,0,38.62%,37.45%
11/24/2022,11:32:00,8.69,8.69,8.68,8.69,8.69,8.69,8.69,8.69,286,39,70,0,0,0,39.08%,38.00%
11/24/2022,11:33:00,8.69,8.7,8.69,8.69,8.69,8.69,8.69,8.69,47,40,70,0,0,0,39.38%,38.46%
11/24/2022,11:34:00,8.69,8.7,8.69,8.69,8.69,8.69,8.69,8.69,16,39,69,0,0,0,39.59%,38.84%
11/24/2022,11:35:00,8.7,8.7,8.69,8.69,8.69,8.69,8.69,8.69,143,42,63,0,0,0,39.73%,39.13%
11/24/2022,11:36:00,8.69,8.69,8.69,8.69,8.69,8.69,8.69,8.69,3,42,63,0,0,0,39.82%,39.36%
11/24/2022,11:37:00,8.7,8.7,8.7,8.7,8.69,8.69,8.69,8.69,1,42,62,0,0,0,46.55%,41.76%
11/24/2022,11:38:00,8.69,8.7,8.69,8.69,8.69,8.69,8.69,8.69,33,43,62,0,0,0,44.36%,42.62%
11/24/2022,11:39:00,8.69,8.7,8.69,8.7,8.69,8.69,8.69,8.69,44,44,61,0,0,0,49.58%,44.94%
11/24/2022,11:40:00,8.7,8.7,8.69,8.7,8.69,8.69,8.69,8.69,42,44,61,0,0,0,53.05%,47.64%
11/24/2022,11:41:00,8.7,8.7,8.7,8.7,8.7,8.69,8.69,8.69,6,43,58,0,0,0,55.37%,50.22%
11/24/2022,11:42:00,8.7,8.7,8.69,8.69,8.7,8.69,8.69,8.69,16,42,57,0,0,0,50.24%,50.23%
11/24/2022,11:43:00,8.69,8.7,8.69,8.7,8.7,8.69,8.69,8.69,4,42,57,0,0,0,53.50%,51.32%
11/24/2022,11:44:00,8.7,8.7,8.7,8.7,8.7,8.69,8.69,8.69,460,53,62,0,0,0,55.66%,52.77%
11/24/2022,11:45:00,8.69,8.7,8.69,8.7,8.7,8.69,8.69,8.69,39,54,61,0,0,0,62.11%,55.88%
11/24/2022,11:46:00,8.7,8.7,8.69,8.69,8.7,8.69,8.69,8.69,11,53,61,0,0,0,58.07%,56.61%
11/24/2022,11:47:00,8.69,8.7,8.69,8.69,8.7,8.69,8.69,8.69,42,53,61,0,0,0,55.38%,56.20%
11/24/2022,11:48:00,8.7,8.7,8.69,8.69,8.7,8.69,8.69,8.69,8,53,61,0,0,0,53.59%,55.33%
11/24/2022,11:49:00,8.69,8.69,8.69,8.69,8.69,8.69,8.69,8.69,0,53,61,0,0,0,52.39%,54.35%
11/24/2022,11:50:00,8.7,8.7,8.7,8.7,8.7,8.69,8.69,8.69,7,47,58,0,0,0,59.93%,56.21%
11/24/2022,11:51:00,8.7,8.7,8.7,8.7,8.7,8.7,8.69,8.69,5,41,58,0,0,0,73.29%,61.90%
11/24/2022,11:52:00,8.7,8.7,8.7,8.7,8.7,8.7,8.69,8.69,108,41,59,0,0,0,82.19%,68.66%
11/24/2022,11:53:00,8.7,8.7,8.7,8.7,8.7,8.7,8.69,8.69,7,41,59,0,0,0,88.13%,75.15%
11/24/2022,11:54:00,8.7,8.7,8.7,8.7,8.7,8.7,8.69,8.69,10,39,59,0,0,0,92.08%,80.80%
11/24/2022,11:55:00,8.7,8.7,8.69,8.7,8.7,8.7,8.69,8.69,5,39,59,0,0,0,94.72%,85.44%
11/24/2022,11:56:00,8.7,8.7,8.7,8.7,8.7,8.7,8.69,8.69,13,40,55,0,0,0,96.48%,89.12%
11/24/2022,11:57:00,8.7,8.7,8.69,8.7,8.7,8.7,8.69,8.69,7,39,52,0,0,0,97.65%,91.96%
11/24/2022,11:58:00,8.7,8.7,8.69,8.7,8.7,8.7,8.69,8.69,305,47,54,0,0,0,98.44%,94.12%
11/24/2022,11:59:00,8.7,8.7,8.69,8.7,8.7,8.7,8.69,8.69,18,46,53,0,0,0,98.96%,95.73%
11/24/2022,12:00:00,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.69,4,46,53,0,0,0,99.31%,96.92%
11/24/2022,12:01:00,8.7,8.7,8.69,8.69,8.7,8.7,8.7,8.69,31,47,52,0,0,0,88.43%,94.09%
11/24/2022,12:02:00,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.69,21,47,52,0,0,0,92.28%,93.49%
11/24/2022,12:03:00,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.69,7,46,52,0,0,0,94.86%,93.94%
11/24/2022,12:04:00,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.69,10,45,51,0,0,0,96.57%,94.82%
11/24/2022,12:05:00,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.69,11,45,50,0,0,0,97.71%,95.78%
11/24/2022,12:06:00,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.69,5,45,50,0,0,0,98.48%,96.68%
11/24/2022,12:07:00,8.7,8.7,8.69,8.7,8.7,8.7,8.7,8.69,25,45,51,0,0,0,98.98%,97.45%
11/24/2022,12:08:00,8.69,8.7,8.69,8.7,8.7,8.7,8.7,8.69,12,46,50,0,0,0,99.32%,98.07%
11/24/2022,12:09:00,8.7,8.7,8.69,8.7,8.7,8.7,8.7,8.69,32,46,51,0,0,0,99.55%,98.57%
11/24/2022,12:10:00,8.7,8.7,8.69,8.7,8.7,8.7,8.7,8.69,90,48,48,0,0,0,99.70%,98.94%
11/24/2022,12:11:00,8.7,8.71,8.7,8.71,8.7,8.7,8.7,8.69,684,65,49,0,0,0,99.80%,99.23%
11/24/2022,12:12:00,8.71,8.71,8.7,8.71,8.7,8.7,8.7,8.69,83,60,50,0,0,0,99.87%,99.44%
11/24/2022,12:13:00,8.71,8.71,8.7,8.71,8.7,8.7,8.7,8.69,64,61,50,0,0,0,99.91%,99.60%
11/24/2022,12:14:00,8.71,8.72,8.7,8.72,8.71,8.7,8.7,8.69,219,66,52,0,0,0,99.94%,99.71%
